date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:26:56	69/69	---M-Z	200	added ('OK')	text/plain	date:Thu,%2023%20Nov%202017%2009:56:53%20GMT	https://jobify-demos.astoundify.com/robots.txt		(from )
15:26:57	73926/73926	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Nov%202017%2009:56:53%20GMT	https://jobify-demos.astoundify.com/classic/	E:/spec/jobiify/jobify-demos.astoundify.com/classic/index.html	(from )
15:26:57	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2023%20Nov%202017%2009:56:54%20GMT	https://jobify-demos.astoundify.com/classic/xmlrpc.php	E:/spec/jobiify/jobify-demos.astoundify.com/classic/xmlrpc.php	(from https://jobify-demos.astoundify.com/classic/)
15:26:58	15972/15972	---MCZ	200	added ('OK')	text/css	etag:W/%223e64-5575c2bd76d49-gzip%22	http://17314-presscdn-0-16-pagely.netdna-ssl.com/classic/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.1.2	E:/spec/jobiify/17314-presscdn-0-16-pagely.netdna-ssl.com/classic/wp-content/plugins/woocommerce/assets/css/woocommerce-layout0226.css	(from https://jobify-demos.astoundify.com/classic/)
15:26:58	6940/6940	---MCZ	200	added ('OK')	text/css	etag:W/%221b1c-5575c2bd75da9-gzip%22	http://17314-presscdn-0-16-pagely.netdna-ssl.com/classic/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.1.2	E:/spec/jobiify/17314-presscdn-0-16-pagely.netdna-ssl.com/classic/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen0226.css	(from https://jobify-demos.astoundify.com/classic/)
15:26:59	36630/36630	---M-Z	200	added ('OK')	application/rss+xml	etag:%222bcce1c42e9dbe11fb5f33d4567b6995-gzip%22	https://jobify-demos.astoundify.com/classic/feed/	E:/spec/jobiify/jobify-demos.astoundify.com/classic/feed/index.html	(from https://jobify-demos.astoundify.com/classic/)
15:26:59	794/794	---M-Z	200	added ('OK')	application/rss+xml	etag:%221a37d3487e1d8bc5a557466108d53d10-gzip%22	https://jobify-demos.astoundify.com/classic/comments/feed/	E:/spec/jobiify/jobify-demos.astoundify.com/classic/comments/feed/index.html	(from https://jobify-demos.astoundify.com/classic/)
15:26:59	215646/215646	---MCZ	200	added ('OK')	text/css	etag:W/%2234a5e-55ae2f7e2f068-gzip%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/classic/wp-content/themes/jobify/style.css?ver=20170821	E:/spec/jobiify/17314-presscdn-0-16-pagely.netdna-ssl.com/classic/wp-content/themes/jobify/styled172.css	(from https://jobify-demos.astoundify.com/classic/)
15:27:00	1051/1051	---MCZ	200	added ('OK')	text/css	etag:W/%2241b-53770afb087c0-gzip%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/classic/wp-content/themes/jobify-child/style.css?ver=4.8.3	E:/spec/jobiify/17314-presscdn-0-16-pagely.netdna-ssl.com/classic/wp-content/themes/jobify-child/style7bcd.css	(from https://jobify-demos.astoundify.com/classic/)
15:27:00	17319/17319	---MCZ	200	added ('OK')	text/css	etag:W/%2243a7-5317710116d00-gzip%22	https://17314-presscdn-0-16-pagely.netdna-ssl.com/classic/wp-content/plugins/jetpack-sharing/sharedaddy/sharing.css?ver=3.9.6	E:/spec/jobiify/17314-presscdn-0-16-pagely.netdna-ssl.com/classic/wp-content/plugins/jetpack-sharing/sharedaddy/sharing5219.css	(from https://jobify-demos.astoundify.com/classic/)
